FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.488974,488974,POINT (16.32178639105537 48.147753264091556),Rossakgasse,Rossakgasse,64A,1117,2,
OEFFHALTESTOGD.488975,488975,POINT (16.38274839036522 48.15402430073028),Alaudagasse,Alaudagasse,"67A, 67B",14,2,
OEFFHALTESTOGD.488976,488976,POINT (16.30335925582184 48.16188520623734),Südwestfriedhof 1.Tor,Südwestfriedhof 1.Tor,"16A, 63A",1352,2,
OEFFHALTESTOGD.488977,488977,POINT (16.44064584079852 48.177509910718115),Simmeringer Haide,Simmeringer Haide,"76A, 76B",1259,2,
OEFFHALTESTOGD.488978,488978,POINT (16.46981335288392 48.23016906980675),Contiweg,Contiweg,"22A, 95B",1270,2,
OEFFHALTESTOGD.488979,488979,POINT (16.447861348768004 48.2878998854779),Illgasse,Illgasse,32A,574,2,
OEFFHALTESTOGD.488980,488980,POINT (16.315299329292134 48.223184517588294),Hernals,Hernals,"42A, 44A",505,2,
OEFFHALTESTOGD.488981,488981,POINT (16.488295658029042 48.20880310692221),Danzergasse,Danzergasse,93A,222,2,
OEFFHALTESTOGD.488982,488982,POINT (16.312102878364048 48.14093313665199),Herziggasse,Herziggasse,61A,1603,2,
OEFFHALTESTOGD.488983,488983,POINT (16.349186176533717 48.1931287600575),Hirschengasse,Hirschengasse,57A,529,2,
OEFFHALTESTOGD.488984,488984,POINT (16.42312609266039 48.26969254043415),Franz-Sebek-Straße,Franz-Sebek-Straße,"28A, 31A",1851,2,
OEFFHALTESTOGD.488985,488985,POINT (16.322776624749014 48.190108635981844),"Rudolfsheim, Anschützgasse","Rudolfsheim, Anschützgasse",57A,67,2,
OEFFHALTESTOGD.488986,488986,POINT (16.305691058264372 48.157428426158106),Gregorygasse,Gregorygasse,62A,421,2,
OEFFHALTESTOGD.488987,488987,POINT (16.485474733440746 48.24764047647108),Kapellergasse,Kapellergasse,85A,651,2,
OEFFHALTESTOGD.488988,488988,POINT (16.340995747220067 48.18491086995189),Steinhagegasse,Steinhagegasse,12A,1868,2,
OEFFHALTESTOGD.488989,488989,POINT (16.385272076104958 48.26602873942256),Jeneweingasse,Jeneweingasse,34A,594,2,
OEFFHALTESTOGD.488990,488990,POINT (16.357253756264498 48.204858839528),Volkstheater,Volkstheater,48A,1430,2,
OEFFHALTESTOGD.488991,488991,POINT (16.276957141500723 48.136631287150735),Fabergasse,Fabergasse,60A,875,2,
OEFFHALTESTOGD.488992,488992,POINT (16.31943333369874 48.22957922374935),Krenngasse,Krenngasse,42A,718,2,
OEFFHALTESTOGD.488993,488993,POINT (16.36787221841641 48.21308114208492),Renngasse,Renngasse,"1A, 3A",1090,2,
OEFFHALTESTOGD.488994,488994,POINT (16.483365262558994 48.251458268018055),"Breitenlee, Spargelfeldstraße","Breitenlee, Spargelfeldstraße","24A, 85A",1279,2,
OEFFHALTESTOGD.488995,488995,POINT (16.413297718547675 48.29415899599315),Kummergasse,Kummergasse,30A,1623,2,
OEFFHALTESTOGD.488996,488996,POINT (16.329075655984738 48.1522833666068),Schwarzenhaidestraße,Schwarzenhaidestraße,"65A, 66A, 67B",1195,2,
OEFFHALTESTOGD.488997,488997,POINT (16.438128929512658 48.16391575205759),Am Himmelreich,Am Himmelreich,73A,40,2,
OEFFHALTESTOGD.488998,488998,POINT (16.440892821606006 48.22059904589868),Siedlung Sonnheim,Siedlung Sonnheim,93A,1244,2,
OEFFHALTESTOGD.488999,488999,POINT (16.535893093619997 48.227127131480586),Zifferergasse,Zifferergasse,"99A, 99B",1534,2,
OEFFHALTESTOGD.489000,489000,POINT (16.390934401930718 48.1966289248437),Klinik Landstraße,Klinik Landstraße,77A,346,2,
OEFFHALTESTOGD.489001,489001,POINT (16.328666000447793 48.157076536178515),Zanaschkagasse,Zanaschkagasse,16A,1514,2,
OEFFHALTESTOGD.489002,489002,POINT (16.254365474177764 48.21848709661716),Elsbeergasse,Elsbeergasse,52B,275,2,
OEFFHALTESTOGD.489003,489003,POINT (16.34951697775025 48.2130806110538),Laudongasse,Laudongasse,13A,753,2,
OEFFHALTESTOGD.489004,489004,POINT (16.288510223406764 48.13604993523553),Seybelgasse,Seybelgasse,64A,1228,2,
OEFFHALTESTOGD.489005,489005,POINT (16.529155083850878 48.21951061557206),Wehrbrücklstraße/Gernotgasse,Wehrbrücklstraße/Gernotgasse,98A,770,2,
OEFFHALTESTOGD.489006,489006,POINT (16.497840790047608 48.17349151676522),Finsterbuschstraße Nord,Finsterbuschstraße Nord,92B,316,2,
